iter	RMSE
0	699.5955025
1	638.5227183
2	621.029674
3	603.329162
4	582.443921
5	554.6943967
6	534.3069603
7	524.6262708
8	514.2862855
9	498.2135451
10	490.352946
11	473.4042973
12	462.2242714
13	445.2947011
14	439.7226941
15	427.5982733
16	412.7657301
17	402.4116807
18	396.2551402
19	384.5222349
20	372.767599
21	362.8567924
22	357.6840584
23	350.149565
24	347.2662336
25	340.5346572
26	336.1803362
27	332.0908882
28	325.2026699
29	320.4679945
30	318.4492725
31	315.2630587
32	312.1174
33	309.3197236
34	301.9879249
35	297.9144032
36	293.8053815
37	292.0805809
38	287.9437493
39	283.7364714
40	281.1282129
41	276.6688316
42	274.8786868
43	272.0828996
44	269.7398787
45	266.1302036
46	262.2300943
47	258.9625268
48	256.0561603
49	253.8973252
50	251.7764864
51	250.478199
52	247.941069
53	244.4345499
54	242.1454158
55	240.3778654
56	238.6385249
57	237.2324388
58	235.3339666
59	232.239929
60	228.3968145
61	226.5104198
62	223.3195275
63	221.920677
64	220.0986463
65	216.4755752
66	213.7524647
67	212.1421258
68	210.1889311
69	208.5860894
70	206.7801491
71	205.6895421
72	204.0548034
73	202.7455463
74	200.9519122
75	199.7131938
76	198.342806
77	196.6533544
78	195.5684825
79	194.0169523
80	191.5473036
81	189.4168211
