iter	Passed	Remaining
0	1411	114371
1	2550	102010
2	3723	98060
3	4951	96562
4	6242	96140
5	7635	96721
6	9182	98387
7	10654	98554
8	12123	98334
9	13659	98349
10	15291	98699
11	16757	97750
12	18375	97531
13	19865	96490
14	21637	96646
15	23210	95742
16	24916	95267
17	26490	94189
18	28028	92937
19	29605	91776
20	31276	90849
21	32807	89474
22	34392	88224
23	35949	86877
24	37558	85632
25	39157	84339
26	40743	82997
27	42360	81696
28	43867	80171
29	45357	78619
30	46795	76986
31	48337	75526
32	50072	74350
33	51815	73151
34	53709	72124
35	55330	70700
36	56758	69030
37	58250	67448
38	59968	66119
39	61665	64749
40	63541	63541
41	65558	62436
42	67394	61125
43	70065	60511
44	72740	59808
45	75522	59104
46	79104	58907
47	80950	57339
48	82570	55608
49	84218	53899
50	85741	52117
51	87304	50367
52	88883	48634
53	90662	47010
54	92171	45247
55	93830	43564
56	95365	41827
57	96979	40129
58	98511	38402
59	100067	36691
60	101796	35044
61	103380	33348
62	105268	31747
63	106931	30074
64	108549	28389
65	110362	26754
66	112375	25158
67	114164	23504
68	116021	21859
69	117829	20199
70	119401	18498
71	120946	16798
72	122448	15096
73	123877	13392
74	125314	11696
75	126784	10009
76	128139	8320
77	129490	6640
78	130833	4968
79	132125	3303
80	133399	1646
81	134687	0
